contract_date,training_2026_days,train_rows,train_last_contract_date,actual_high_f,fixed_170_predicted_high_f,daily_refit_predicted_high_f,rebuilt_170_predicted_high_f,fixed_170_xgboost_predicted_high_f,fixed_170_lightgbm_predicted_high_f,fixed_170_catboost_predicted_high_f,daily_refit_xgboost_predicted_high_f,daily_refit_lightgbm_predicted_high_f,daily_refit_catboost_predicted_high_f,fit_seconds,actual_rounded_f,actual_bucket,fixed_170_rounded_f,fixed_170_bucket,fixed_170_bucket_hit,fixed_170_error_f,fixed_170_absolute_error_f,daily_refit_rounded_f,daily_refit_bucket,daily_refit_bucket_hit,daily_refit_error_f,daily_refit_absolute_error_f,refit_hit_gain,refit_minus_fixed_prediction_f,rebuilt_170_minus_artifact_f
2026-07-01,170,1981,2026-06-21,95.0,95.484618709206,95.484618709206,95.43884749949913,96.11602783203125,96.12761226423336,95.45537595084366,96.11602783203125,96.12761226423336,95.45537595084366,0.0577843000064604,95,94-95,95,94-95,True,-0.4846187092060035,0.4846187092060035,95,94-95,True,-0.4846187092060035,0.4846187092060035,0,0.0,-0.045771209706870764
2026-07-02,171,1982,2026-07-01,95.0,94.72564937764989,95.252375611804,95.19117514896027,95.12173080444336,95.61217423259812,94.67590535509581,96.21300649642944,95.87074342101049,94.90868677176746,58.51014020000002,95,94-95,95,94-95,True,0.27435062235011287,0.27435062235011287,95,94-95,True,-0.25237561180399837,0.25237561180399837,0,0.5267262341541112,0.4655257713103822
2026-07-12,172,1983,2026-07-02,98.0,93.45437574527999,93.11392092495112,93.32115315579313,93.79308128356934,94.20870580830538,93.58254020008098,93.44549322128296,93.70262404377289,93.4155383691046,20.719970999998623,98,98-99,93,92-93,False,4.5456242547200105,4.5456242547200105,93,92-93,False,4.886079075048883,4.886079075048883,0,-0.34045482032887264,-0.13322258948686283
2026-07-15,173,1984,2026-07-12,91.0,89.76692700684738,89.92084760615404,89.53225073317398,90.62688064575195,89.97209075117992,89.87862059294142,90.18756151199341,90.10817360059593,90.65973582729403,19.060757799990824,91,90-91,90,90-91,True,1.2330729931526179,1.2330729931526179,90,90-91,True,1.079152393845959,1.079152393845959,0,0.1539205993066588,-0.23467627367340071
2026-07-16,174,1985,2026-07-15,89.0,89.72575685985757,89.91759100001994,89.65624262731934,89.92770671844482,89.80938476750673,90.63515585420411,90.53791856765747,89.85434836539132,90.5530428251567,21.538101400001324,89,88-89,90,90-91,False,-0.7257568598575688,0.7257568598575688,90,90-91,False,-0.9175910000199394,0.9175910000199394,0,0.19183414016237066,-0.06951423253822497
2026-07-17,175,1986,2026-07-16,94.0,93.28587246102346,93.10229047591085,93.17150793393785,94.04183769226074,93.58842562836254,93.4506853988519,93.68450498580933,93.49958399847719,93.34469743670199,17.93724869999278,94,94-95,93,92-93,False,0.7141275389765411,0.7141275389765411,93,92-93,False,0.8977095240891515,0.8977095240891515,0,-0.18358198511261037,-0.11436452708561262
2026-07-18,176,1987,2026-07-17,97.0,96.46364270733054,96.56548439653965,96.61001397281368,97.02057838439941,96.7883659268813,96.85174073451643,96.85518407821655,97.27418767204007,96.83248255118737,20.23875490001228,97,96-97,96,96-97,True,0.5363572926694644,0.5363572926694644,97,96-97,True,0.4345156034603548,0.4345156034603548,0,0.10184168920910963,0.14637126548313972
2026-07-19,177,1988,2026-07-18,98.0,98.1515280345877,97.89891505600254,97.80352433389207,98.3541145324707,98.4316375891646,98.97064235406329,98.29594993591309,98.11889155570744,98.57775109925672,21.560564899991732,98,98-99,98,98-99,True,-0.1515280345876988,0.1515280345876988,98,98-99,True,0.10108494399746348,0.10108494399746348,0,-0.2526129785851623,-0.348003700695628
2026-07-20,178,1989,2026-07-19,102.0,100.91508699529507,100.78556934720922,100.7555087325812,100.76476669311523,101.65928723733781,101.65381099134673,100.94705104827881,101.24278772930316,101.49946157457347,18.24170350001077,102,102-103,101,100-101,False,1.08491300470493,1.08491300470493,101,100-101,False,1.2144306527907816,1.2144306527907816,0,-0.12951764808585153,-0.15957826271386466
2026-07-21,179,1990,2026-07-20,107.0,105.77770531754244,105.83900896428804,105.53341344082669,105.93004703521729,106.54533430498715,106.24787680462353,106.29083347320557,106.57069719941632,106.04074621888614,20.214864699999453,107,106-107,106,106-107,True,1.2222946824575587,1.2222946824575587,106,106-107,True,1.1609910357119588,1.1609910357119588,0,0.06130364674559985,-0.24429187671574937
