method,days,bucket_hits,bucket_hit_rate_pct,mae_f,rmse_f,bias_actual_minus_prediction_f
fixed_170,18,10,55.55555555555556,1.191311586150103,1.5247875961665642,0.07370087599571601
daily_refit,18,10,55.55555555555556,1.1067372279980603,1.5394818526775118,0.16203069803346104
