city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return,fold,selected_parameters,risk_usdc,fixed_4_pnl_usdc,sized_pnl_usdc
Dallas,KDAL,2026-03-15,highest-temperature-in-dallas-on-march-15-2026,highest-temperature-in-dallas-on-march-15-2026-84-85f,84-85°F,0.14479866169233552,0.8552013383076644,7.854455566406244,True,False,False,False,False,False,0.0,1.0,1773591300,0.68,30.0,0.6900000000000001,0.0,0.6900000000000001,0.16520133830766437,True,-1.0,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,-4.0,-6.0
Dallas,KDAL,2026-03-16,highest-temperature-in-dallas-on-march-16-2026,highest-temperature-in-dallas-on-march-16-2026-50-51f,50-51°F,0.1038820381595793,0.8961179618404207,5.118640136718746,True,False,False,False,True,False,0.0,1.0,1773677700,0.6465,35.0,0.6565,0.0,0.6565,0.23961796184042072,True,0.5232292460015233,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,2.0929169840060933,3.13937547600914
Dallas,KDAL,2026-03-17,highest-temperature-in-dallas-on-march-17-2026,highest-temperature-in-dallas-on-march-17-2026-64-65f,64-65°F,0.10765973127644154,0.8923402687235584,7.856213378906254,True,False,False,False,True,False,0.0,1.0,1773764100,0.625,29.0,0.635,0.0,0.635,0.2573402687235584,True,0.5748031496062991,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,2.2992125984251963,3.4488188976377945
Dallas,KDAL,2026-03-19,highest-temperature-in-dallas-on-march-19-2026,highest-temperature-in-dallas-on-march-19-2026-86-87f,86-87°F,0.13400713518150853,0.8659928648184915,8.010461425781244,True,False,False,False,False,False,0.0,1.0,1773936900,0.64,29.0,0.65,0.0,0.65,0.21599286481849145,True,-1.0,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,-4.0,-6.0
Dallas,KDAL,2026-03-20,highest-temperature-in-dallas-on-march-20-2026,highest-temperature-in-dallas-on-march-20-2026-90-91f,90-91°F,0.14567169300571972,0.8543283069942803,9.705487060546872,True,False,False,False,True,False,0.0,1.0,1774023300,0.48,34.0,0.49,0.0,0.49,0.3643283069942803,True,1.0408163265306123,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,4.163265306122449,6.244897959183674
Dallas,KDAL,2026-03-21,highest-temperature-in-dallas-on-march-21-2026,highest-temperature-in-dallas-on-march-21-2026-92-93f,92-93°F,0.09573750887882457,0.9042624911211754,9.39605712890625,True,False,False,False,True,False,0.0,1.0,1774109700,0.56,34.0,0.5700000000000001,0.0,0.5700000000000001,0.33426249112117534,True,0.7543859649122806,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,3.0175438596491224,4.526315789473683
Dallas,KDAL,2026-03-23,highest-temperature-in-dallas-on-march-23-2026,highest-temperature-in-dallas-on-march-23-2026-78-79f,78-79°F,0.058404191580759685,0.9415958084192403,2.973339843750012,True,False,False,False,True,False,0.0,1.0,1774282500,0.5605,42.0,0.5705,0.0,0.5705,0.3710958084192403,True,0.7528483786152498,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,3.011393514460999,4.517090271691499
Dallas,KDAL,2026-03-28,highest-temperature-in-dallas-on-march-28-2026,highest-temperature-in-dallas-on-march-28-2026-64-65f,64-65°F,0.03294686142960623,0.9670531385703938,6.567407226562601,True,False,False,False,True,False,0.0,1.0,1774714500,0.8,28.0,0.81,0.0,0.81,0.1570531385703937,True,0.23456790123456783,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,0.9382716049382713,1.407407407407407
Dallas,KDAL,2026-03-30,highest-temperature-in-dallas-on-march-30-2026,highest-temperature-in-dallas-on-march-30-2026-84-85f,84-85°F,0.21814151110533048,0.7818584888946696,7.474987792968747,True,False,False,False,True,True,0.05,1.0,1774887300,0.46,10.0,0.47000000000000003,0.012455,0.482455,0.29940348889466956,True,1.0727321719124063,2026-03,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.85,""max_provider_spread_f"":100.0,""max_yes_probability"":0.25,""min_no_edge"":0.1,""require_confidence_gate"":true}",6.0,4.290928687649625,6.436393031474438
Dallas,KDAL,2026-04-16,highest-temperature-in-dallas-on-april-16-2026,highest-temperature-in-dallas-on-april-16-2026-86-87f,86-87°F,0.0835269203754809,0.9164730796245191,6.121307373046875,False,False,False,False,True,True,0.05,1.0,1776356100,0.6,17.0,0.61,0.011895000000000001,0.621895,0.2945780796245191,True,0.6079884868024346,2026-04,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.65,""max_provider_spread_f"":8.0,""max_yes_probability"":0.4,""min_no_edge"":0.2,""require_confidence_gate"":false}",6.0,2.4319539472097382,3.6479309208146073
