city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return,risk_usdc,fixed_4_pnl_usdc,sized_pnl_usdc
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-74-75f,74-75°F,0.027821441628052966,0.972178558371947,4.189691162109369,True,False,False,False,True,False,0.0,1.0,1767287700,0.5885,52.0,0.5985,0.0,0.5985,0.37367855837194697,True,0.6708437761069339,6.0,2.6833751044277356,4.0250626566416035
Dallas,KDAL,2026-01-06,highest-temperature-in-dallas-on-january-6,highest-temperature-in-dallas-on-january-6-76-77f,76-77°F,0.2363495230194652,0.7636504769805348,7.933721923828131,True,False,False,False,False,False,0.0,1.0,1767719700,0.445,51.0,0.455,0.0,0.455,0.30865047698053477,True,-1.0,6.0,-4.0,-6.0
Dallas,KDAL,2026-01-07,highest-temperature-in-dallas-on-january-7,highest-temperature-in-dallas-on-january-7-78-79f,78-79°F,0.25727764468890546,0.7427223553110945,6.639862060546875,True,False,False,False,True,False,0.0,1.0,1767806100,0.395,48.0,0.405,0.0,0.405,0.3377223553110945,True,1.4691358024691357,6.0,5.876543209876543,8.814814814814813
Dallas,KDAL,2026-01-11,highest-temperature-in-dallas-on-january-11,highest-temperature-in-dallas-on-january-11-58-59f,58-59°F,0.22607122331913437,0.7739287766808656,1.60400390625,True,False,False,False,True,False,0.0,1.0,1768151700,0.585,49.0,0.595,0.0,0.595,0.1789287766808656,True,0.680672268907563,6.0,2.722689075630252,4.084033613445378
Dallas,KDAL,2026-01-12,highest-temperature-in-dallas-on-january-12,highest-temperature-in-dallas-on-january-12-66-67f,66-67°F,0.021357599166114037,0.978642400833886,2.0111022949218835,True,False,False,False,True,False,0.0,1.0,1768238100,0.52,50.0,0.53,0.0,0.53,0.44864240083388596,True,0.8867924528301885,6.0,3.547169811320754,5.320754716981131
Dallas,KDAL,2026-01-15,highest-temperature-in-dallas-on-january-15,highest-temperature-in-dallas-on-january-15-56-57f,56-57°F,0.09664702223041546,0.9033529777695846,4.661279296875001,True,False,False,False,True,False,0.0,1.0,1768497300,0.691,49.0,0.701,0.0,0.701,0.2023529777695846,True,0.42653352353780316,6.0,1.7061340941512126,2.559201141226819
Dallas,KDAL,2026-01-17,highest-temperature-in-dallas-on-january-17,highest-temperature-in-dallas-on-january-17-46-47f,46-47°F,0.027130470443555602,0.9728695295564443,3.753369140624997,True,False,False,False,True,False,0.0,1.0,1768670100,0.39,47.0,0.4,0.0,0.4,0.5728695295564443,True,1.5,6.0,6.0,9.0
Dallas,KDAL,2026-01-18,highest-temperature-in-dallas-on-january-18,highest-temperature-in-dallas-on-january-18-58-59f,58-59°F,0.27533324431566414,0.7246667556843358,6.9840087890625,False,False,False,False,True,False,0.0,1.0,1768756500,0.35,47.0,0.36,0.0,0.36,0.3646667556843358,True,1.7777777777777777,6.0,7.111111111111111,10.666666666666666
Dallas,KDAL,2026-01-19,highest-temperature-in-dallas-on-january-19,highest-temperature-in-dallas-on-january-19-56-57f,56-57°F,0.032092558351248995,0.967907441648751,2.247418212890622,False,False,False,False,True,False,0.0,1.0,1768842900,0.7015,48.0,0.7115,0.0,0.7115,0.25640744164875096,True,0.40548137737174983,6.0,1.6219255094869993,2.432888264230499
Dallas,KDAL,2026-01-20,highest-temperature-in-dallas-on-january-20,highest-temperature-in-dallas-on-january-20-56-57f,56-57°F,0.09878109934782707,0.9012189006521729,7.013122558593743,True,False,False,False,True,False,0.0,1.0,1768929300,0.66,49.0,0.67,0.0,0.67,0.23121890065217288,True,0.4925373134328357,6.0,1.9701492537313428,2.955223880597014
