train_month,test_month,selected_parameters,train_trade_count,train_mean_return,train_mean_return_lcb_95,trade_count,wins,win_rate,total_pnl_per_1usd,mean_return,return_std,mean_return_lcb_95,profit_factor,max_drawdown_per_1usd,total_pnl_usdc
2026-03,2026-04,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.05,""min_no_edge"":0.15,""require_confidence_gate"":false}",5,0.33865688736179017,0.26907211042782725,3,2,0.6666666666666666,0.30278753204452813,0.10092917734817604,0.9568537806163775,-0.8078342736058155,1.3027875320445281,1.0,1.2111501281781125
2026-04,2026-05,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":8.0,""max_yes_probability"":0.4,""min_no_edge"":0.15,""require_confidence_gate"":true}",5,0.8119466306103114,0.6391113268653063,4,2,0.5,1.2199939093289998,0.30499847733224994,1.5743903516902,-0.9899375869329395,1.6099969546644999,2.0,4.879975637315999
2026-05,2026-06,"{""bucket_scope"":""all"",""exclude_open_tail"":false,""max_no_price"":0.95,""max_provider_spread_f"":100.0,""max_yes_probability"":0.2,""min_no_edge"":0.2,""require_confidence_gate"":false}",7,1.2001468496662098,0.233929092569632,6,3,0.5,-1.4483596586858678,-0.24139327644764463,0.8317958753746569,-0.8000011330523453,0.5172134471047106,3.0,-5.793438634743471
2026-06,2026-07,"{""bucket_scope"":""all"",""exclude_open_tail"":true,""max_no_price"":0.95,""max_provider_spread_f"":100.0,""max_yes_probability"":0.05,""min_no_edge"":0.05,""require_confidence_gate"":false}",6,0.2962998083582808,0.13197632034445336,11,10,0.9090909090909091,0.6662465569526879,0.06056786881388072,0.3677479877423075,-0.12183004414728715,1.6662465569526879,1.0,2.6649862278107515
