max_yes_probability,trade_count,wins,win_rate,total_pnl_per_1usd,mean_return,return_std,mean_return_lcb_95,profit_factor,max_drawdown_per_1usd,total_pnl_usdc,max_drawdown_usdc
0.05,38,35,0.9210526315789473,3.559522130990298,0.09367163502606048,0.36024685701801057,-0.002461765408954056,2.186507376996766,1.9229578270674161,14.238088523961192,7.6918313082696645
0.1,43,37,0.8604651162790697,2.31755304381607,0.05389658241432721,0.4589091378392015,-0.06122543191303419,1.3862588406360115,1.5245564343091225,9.27021217526428,6.09822573723649
0.15,53,43,0.8113207547169812,2.5901478433030927,0.048870714024586655,0.5708901139061486,-0.08012654723357077,1.2590147843303092,3.663784832176706,10.36059137321237,14.655139328706824
0.2,63,48,0.7619047619047619,6.750755301871048,0.10715484606144521,0.8555329217951076,-0.07015479631592364,1.4500503534580702,4.594852244937577,27.003021207484192,18.37940897975031
0.25,69,50,0.7246376811594203,10.903309227668696,0.15801897431403908,0.9297548048524533,-0.026104765874793656,1.5738583804036155,7.097030194382693,43.613236910674786,28.388120777530773
0.3,81,58,0.7160493827160493,16.101899421619205,0.19878888174838524,0.9355124452345541,0.027797995924958407,1.7000825835486608,4.165024578208071,64.40759768647682,16.660098312832282
0.35,82,57,0.6951219512195121,14.663085850638947,0.17881812012974324,0.9521210660159524,0.005855940199934323,1.5865234340255576,5.490921065711566,58.652343402555786,21.963684262846265
0.4,83,57,0.6867469879518072,13.663085850638947,0.16461549217637286,0.9551028952206104,-0.007839995149124368,1.5255033019476516,5.490921065711566,54.652343402555786,21.963684262846265
