city,station_id,contract_date,event_slug,market_slug,bucket_label,model_yes_probability,model_no_probability,provider_spread_high_f,confidence_gate_passed,is_open_tail,is_point_bucket,is_recommended_bucket,no_win,fees_enabled,fee_rate,fee_exponent,entry_timestamp,no_reference_price,price_age_seconds,no_fill_price,fee_per_share,no_entry_cost,no_edge,no_available,no_net_return
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-65forbelow,65°F or below,0.0038591277132943207,0.9961408722867057,4.189691162109369,True,True,False,False,True,False,0.0,1.0,1767287700,0.7815,50.0,0.7915,0.0,0.7915,0.2046408722867057,True,0.2634238787113077
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-66-67f,66-67°F,0.01119147036855353,0.9888085296314465,4.189691162109369,True,False,False,False,True,False,0.0,1.0,1767287700,0.9155,52.0,0.9255,0.0,0.9255,0.06330852963144651,True,0.08049702863317121
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-68-69f,68-69°F,0.11752716270047212,0.8824728372995279,4.189691162109369,True,False,False,False,True,False,0.0,1.0,1767287700,0.715,53.0,0.725,0.0,0.725,0.15747283729952788,True,0.3793103448275863
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-72-73f,72-73°F,0.25629570563330906,0.7437042943666909,4.189691162109369,True,False,False,False,True,False,0.0,1.0,1767287700,0.75,50.0,0.76,0.0,0.76,-0.016295705633309066,True,0.3157894736842106
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-74-75f,74-75°F,0.027821441628052966,0.972178558371947,4.189691162109369,True,False,False,False,True,False,0.0,1.0,1767287700,0.5885,52.0,0.5985,0.0,0.5985,0.37367855837194697,True,0.6708437761069339
Dallas,KDAL,2026-01-01,highest-temperature-in-dallas-on-january-1,highest-temperature-in-dallas-on-january-1-76forhigher,76°F or higher,0.0084496012617359,0.9915503987382641,4.189691162109369,True,True,False,False,True,False,0.0,1.0,1767287700,0.997,49.0,0.99,0.0,0.99,0.0015503987382641249,True,0.010101010101010166
Dallas,KDAL,2026-01-02,highest-temperature-in-dallas-on-january-2,highest-temperature-in-dallas-on-january-2-67forbelow,67°F or below,0.0,1.0,7.133587646484372,True,True,False,False,True,False,0.0,1.0,1767374100,0.9995,52.0,0.99,0.0,0.99,0.010000000000000009,True,0.010101010101010166
Dallas,KDAL,2026-01-02,highest-temperature-in-dallas-on-january-2,highest-temperature-in-dallas-on-january-2-68-69f,68-69°F,0.0033411926460055878,0.9966588073539944,7.133587646484372,True,False,False,False,True,False,0.0,1.0,1767374100,0.998,51.0,0.99,0.0,0.99,0.006658807353994378,True,0.010101010101010166
Dallas,KDAL,2026-01-02,highest-temperature-in-dallas-on-january-2,highest-temperature-in-dallas-on-january-2-70-71f,70-71°F,0.012111823341770255,0.9878881766582297,7.133587646484372,True,False,False,False,True,False,0.0,1.0,1767374100,0.949,51.0,0.959,0.0,0.959,0.028888176658229736,True,0.04275286757038588
Dallas,KDAL,2026-01-02,highest-temperature-in-dallas-on-january-2,highest-temperature-in-dallas-on-january-2-72-73f,72-73°F,0.11092623660537215,0.8890737633946278,7.133587646484372,True,False,False,False,True,False,0.0,1.0,1767374100,0.855,52.0,0.865,0.0,0.865,0.024073763394627856,True,0.1560693641618498
Dallas,KDAL,2026-01-02,highest-temperature-in-dallas-on-january-2,highest-temperature-in-dallas-on-january-2-76-77f,76-77°F,0.28250027331829164,0.7174997266817084,7.133587646484372,True,False,False,False,False,False,0.0,1.0,1767374100,0.62,53.0,0.63,0.0,0.63,0.08749972668170836,True,-1.0
Dallas,KDAL,2026-01-02,highest-temperature-in-dallas-on-january-2,highest-temperature-in-dallas-on-january-2-78forhigher,78°F or higher,0.03536066438071264,0.9646393356192874,7.133587646484372,True,True,False,False,True,False,0.0,1.0,1767374100,0.9245,53.0,0.9345,0.0,0.9345,0.03013933561928739,True,0.07009095773140728
Dallas,KDAL,2026-01-03,highest-temperature-in-dallas-on-january-3,highest-temperature-in-dallas-on-january-3-64-65f,64-65°F,0.39029320384045807,0.6097067961595419,4.865405273437503,False,False,False,False,False,False,0.0,1.0,1767460500,0.555,49.0,0.5650000000000001,0.0,0.5650000000000001,0.04470679615954187,True,-1.0
Dallas,KDAL,2026-01-03,highest-temperature-in-dallas-on-january-3,highest-temperature-in-dallas-on-january-3-66-67f,66-67°F,0.04747867965054982,0.9525213203494501,4.865405273437503,False,False,False,False,True,False,0.0,1.0,1767460500,0.835,52.0,0.845,0.0,0.845,0.10752132034945017,True,0.18343195266272194
Dallas,KDAL,2026-01-03,highest-temperature-in-dallas-on-january-3,highest-temperature-in-dallas-on-january-3-68-69f,68-69°F,0.010584922337866003,0.989415077662134,4.865405273437503,False,False,False,False,True,False,0.0,1.0,1767460500,0.9865,50.0,0.99,0.0,0.99,-0.0005849223378660007,True,0.010101010101010166
Dallas,KDAL,2026-01-03,highest-temperature-in-dallas-on-january-3,highest-temperature-in-dallas-on-january-3-70-71f,70-71°F,0.003024263525104572,0.9969757364748955,4.865405273437503,False,False,False,False,True,False,0.0,1.0,1767460500,0.9975,49.0,0.99,0.0,0.99,0.0069757364748954664,True,0.010101010101010166
Dallas,KDAL,2026-01-03,highest-temperature-in-dallas-on-january-3,highest-temperature-in-dallas-on-january-3-72-73f,72-73°F,0.0003780329406380715,0.9996219670593619,4.865405273437503,False,False,False,False,True,False,0.0,1.0,1767460500,0.9975,53.0,0.99,0.0,0.99,0.009621967059361913,True,0.010101010101010166
Dallas,KDAL,2026-01-03,highest-temperature-in-dallas-on-january-3,highest-temperature-in-dallas-on-january-3-74forhigher,74°F or higher,0.0,1.0,4.865405273437503,False,True,False,False,True,False,0.0,1.0,1767460500,0.998,51.0,0.99,0.0,0.99,0.010000000000000009,True,0.010101010101010166
Dallas,KDAL,2026-01-04,highest-temperature-in-dallas-on-january-4,highest-temperature-in-dallas-on-january-4-61forbelow,61°F or below,0.10273199893855665,0.8972680010614433,5.436749267578129,False,True,False,False,True,False,0.0,1.0,1767546900,0.81,49.0,0.8200000000000001,0.0,0.8200000000000001,0.07726800106144327,True,0.2195121951219512
Dallas,KDAL,2026-01-04,highest-temperature-in-dallas-on-january-4,highest-temperature-in-dallas-on-january-4-64-65f,64-65°F,0.3297485201508422,0.6702514798491578,5.436749267578129,False,False,False,False,True,False,0.0,1.0,1767546900,0.66,50.0,0.67,0.0,0.67,0.000251479849157743,True,0.4925373134328357
Dallas,KDAL,2026-01-04,highest-temperature-in-dallas-on-january-4,highest-temperature-in-dallas-on-january-4-66-67f,66-67°F,0.042006473692602145,0.9579935263073979,5.436749267578129,False,False,False,False,True,False,0.0,1.0,1767546900,0.96,49.0,0.97,0.0,0.97,-0.012006473692602104,True,0.030927835051546504
Dallas,KDAL,2026-01-04,highest-temperature-in-dallas-on-january-4,highest-temperature-in-dallas-on-january-4-68-69f,68-69°F,0.008486369242956324,0.9915136307570437,5.436749267578129,False,False,False,False,True,False,0.0,1.0,1767546900,0.9925,52.0,0.99,0.0,0.99,0.0015136307570436935,True,0.010101010101010166
Dallas,KDAL,2026-01-04,highest-temperature-in-dallas-on-january-4,highest-temperature-in-dallas-on-january-4-70-71f,70-71°F,0.0024246769265589495,0.9975753230734411,5.436749267578129,False,False,False,False,True,False,0.0,1.0,1767546900,0.9995,49.0,0.99,0.0,0.99,0.007575323073441109,True,0.010101010101010166
Dallas,KDAL,2026-01-04,highest-temperature-in-dallas-on-january-4,highest-temperature-in-dallas-on-january-4-72forhigher,72°F or higher,0.0003030846158198687,0.9996969153841802,5.436749267578129,False,True,False,False,True,False,0.0,1.0,1767546900,0.9995,49.0,0.99,0.0,0.99,0.00969691538418016,True,0.010101010101010166
Dallas,KDAL,2026-01-05,highest-temperature-in-dallas-on-january-5,highest-temperature-in-dallas-on-january-5-51forbelow,51°F or below,0.0,1.0,7.030426025390625,False,True,False,False,True,False,0.0,1.0,1767633300,,,,0.0,,,False,
Dallas,KDAL,2026-01-05,highest-temperature-in-dallas-on-january-5,highest-temperature-in-dallas-on-january-5-52-53f,52-53°F,0.0,1.0,7.030426025390625,False,False,False,False,True,False,0.0,1.0,1767633300,,,,0.0,,,False,
Dallas,KDAL,2026-01-05,highest-temperature-in-dallas-on-january-5,highest-temperature-in-dallas-on-january-5-54-55f,54-55°F,0.0,1.0,7.030426025390625,False,False,False,False,True,False,0.0,1.0,1767633300,0.9995,53.0,0.99,0.0,0.99,0.010000000000000009,True,0.010101010101010166
Dallas,KDAL,2026-01-05,highest-temperature-in-dallas-on-january-5,highest-temperature-in-dallas-on-january-5-56-57f,56-57°F,0.0,1.0,7.030426025390625,False,False,False,False,True,False,0.0,1.0,1767633300,0.9995,51.0,0.99,0.0,0.99,0.010000000000000009,True,0.010101010101010166
