family,action,eligible_for_selection,fold_count,folds_with_trades,available_count,coverage,minimum_fold_trades,relaxed_selection_folds,unique_parameter_sets,selected_parameters_by_fold,trade_count,wins,win_rate,total_pnl_per_1usd,mean_return,return_std,mean_return_lcb_95,profit_factor,max_drawdown,winner_eligible,robust_positive,total_pnl_usdc,max_drawdown_usdc
probability_provider_spread_price_cap,probability,True,6,6,167,0.6646706586826348,13,0,3,"{""max_price"":0.6,""max_provider_spread"":2.0} | {""max_price"":0.8,""max_provider_spread"":3.0} | {""max_price"":0.8,""max_provider_spread"":6.0} | {""max_price"":0.8,""max_provider_spread"":6.0} | {""max_price"":0.8,""max_provider_spread"":6.0} | {""max_price"":0.8,""max_provider_spread"":6.0}",111,42,0.3783783783783784,4.000859369438681,0.03604377810305118,1.5929481735541497,-0.21267355894753773,1.0579834691222996,15.044924622214054,True,False,16.003437477754723,60.17969848885622
probability_confidence_spread_edge,probability,True,6,6,167,0.437125748502994,10,0,3,"{""max_provider_spread"":6.0,""min_confidence"":0.35,""min_edge"":0.0} | {""max_provider_spread"":3.0,""min_confidence"":0.3,""min_edge"":0.0} | {""max_provider_spread"":6.0,""min_confidence"":0.35,""min_edge"":0.0} | {""max_provider_spread"":6.0,""min_confidence"":0.3,""min_edge"":0.0} | {""max_provider_spread"":6.0,""min_confidence"":0.3,""min_edge"":0.0} | {""max_provider_spread"":6.0,""min_confidence"":0.3,""min_edge"":0.0}",73,28,0.3835616438356164,7.082637733986422,0.09702243471214277,1.7393290892164002,-0.23785526865134565,1.1573919496441427,8.285733351961989,True,False,28.330550935945688,33.142933407847956
probability_provider_spread,probability,True,6,6,167,0.6766467065868264,7,0,2,"{""max_provider_spread"":2.0} | {""max_provider_spread"":2.0} | {""max_provider_spread"":6.0} | {""max_provider_spread"":6.0} | {""max_provider_spread"":6.0} | {""max_provider_spread"":6.0}",113,46,0.40707964601769914,-0.16658401033171866,-0.0014741947816966252,1.5332612244581472,-0.23874419640407343,0.9975136714875865,14.827462952343584,True,False,-0.6663360413268746,59.30985180937434
point_price_edge,point,True,6,6,167,0.5269461077844312,11,0,2,"{""max_price"":0.75,""min_edge"":0.0} | {""max_price"":0.75,""min_edge"":0.0} | {""max_price"":0.35,""min_edge"":0.0} | {""max_price"":0.75,""min_edge"":0.0} | {""max_price"":0.75,""min_edge"":0.0} | {""max_price"":0.75,""min_edge"":0.0}",88,29,0.32954545454545453,24.590512931652288,0.2794376469505942,3.0619497853528577,-0.25749848566796335,1.4167883547737676,13.78651976049386,True,False,98.36205172660915,55.14607904197544
probability_confidence_edge,probability,True,6,6,167,0.5808383233532934,10,0,3,"{""min_confidence"":0.35,""min_edge"":0.0} | {""min_confidence"":0.3,""min_edge"":0.0} | {""min_confidence"":0.3,""min_edge"":0.0} | {""min_confidence"":0.3,""min_edge"":0.0} | {""min_confidence"":0.3,""min_edge"":0.0} | {""min_confidence"":0.4,""min_edge"":0.0}",97,33,0.3402061855670103,1.8379542620482052,0.018947982082971188,1.6962234032680714,-0.26436278902666166,1.0287180353445031,11.0,True,False,7.351817048192821,44.0
probability_confidence_price_cap,probability,True,6,6,167,0.7425149700598802,9,0,5,"{""max_price"":0.8,""min_confidence"":0.4} | {""max_price"":0.6,""min_confidence"":0.3} | {""max_price"":0.45,""min_confidence"":0.3} | {""max_price"":0.8,""min_confidence"":0.3} | {""max_price"":0.8,""min_confidence"":0.35} | {""max_price"":0.8,""min_confidence"":0.4}",124,42,0.3387096774193548,-4.817920487502679,-0.03885419747986032,1.5800761071631695,-0.2722715106869032,0.941244872103626,12.472573581370714,True,False,-19.271681950010716,49.890294325482856
probability_confidence,probability,True,6,6,167,0.688622754491018,9,0,3,"{""min_confidence"":0.5} | {""min_confidence"":0.35} | {""min_confidence"":0.4} | {""min_confidence"":0.35} | {""min_confidence"":0.35} | {""min_confidence"":0.4}",115,46,0.4,-6.120630633791432,-0.05322287507644723,1.4829392326519157,-0.28070136528211775,0.9112952082059214,14.806658021599368,True,False,-24.482522535165728,59.22663208639747
point_provider_spread_edge,point,True,6,6,167,0.47904191616766467,9,0,3,"{""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_provider_spread"":3.0,""min_edge"":0.0} | {""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_provider_spread"":6.0,""min_edge"":0.0} | {""max_provider_spread"":6.0,""min_edge"":0.0}",80,28,0.35,22.663828530583082,0.2832978566322885,3.1170208207452155,-0.2899739872607446,1.435842856357367,14.178908504969442,True,False,90.65531412233233,56.71563401987777
point_provider_spread_edge_price_cap,point,True,6,6,167,0.47305389221556887,9,0,4,"{""max_price"":0.8,""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_price"":0.8,""max_provider_spread"":3.0,""min_edge"":0.0} | {""max_price"":0.4,""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_price"":0.8,""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_price"":0.8,""max_provider_spread"":8.0,""min_edge"":0.0} | {""max_price"":0.8,""max_provider_spread"":6.0,""min_edge"":0.0}",79,27,0.34177215189873417,22.654232318588072,0.28676243441250726,3.136783065721258,-0.29378383863694013,1.4356583138190013,14.188504716964456,True,False,90.61692927435229,56.75401886785782
point_provider_spread_price_cap,point,True,6,6,167,0.6946107784431138,12,0,4,"{""max_price"":0.6,""max_provider_spread"":2.0} | {""max_price"":0.6,""max_provider_spread"":8.0} | {""max_price"":0.8,""max_provider_spread"":4.0} | {""max_price"":0.6,""max_provider_spread"":8.0} | {""max_price"":0.8,""max_provider_spread"":6.0} | {""max_price"":0.8,""max_provider_spread"":6.0}",116,38,0.3275862068965517,-15.105332511746592,-0.13021838372195338,1.3802692381432218,-0.34103299925029196,0.8063418908750437,19.02604018418016,True,False,-60.42133004698637,76.10416073672064
point_provider_spread,point,True,6,6,167,0.6227544910179641,7,0,3,"{""max_provider_spread"":2.0} | {""max_provider_spread"":2.0} | {""max_provider_spread"":4.0} | {""max_provider_spread"":6.0} | {""max_provider_spread"":6.0} | {""max_provider_spread"":6.0}",104,38,0.36538461538461536,-20.882978316202532,-0.20079786842502434,1.1861220625115516,-0.39212590586733465,0.6835912376332951,25.048785355347423,True,False,-83.53191326481013,100.19514142138969
probability_all,probability,False,6,6,167,1.0,24,0,1,{} | {} | {} | {} | {} | {},167,68,0.40718562874251496,25.841153238944987,0.15473744454458077,2.420716692273651,-0.15340507666513603,1.2610217498883332,18.974434849577033,False,False,103.36461295577995,75.89773939830813
point_all,point,False,6,6,167,1.0,24,0,1,{} | {} | {} | {} | {} | {},167,65,0.38922155688622756,12.07906787226941,0.07232974773814019,2.3389645737799123,-0.2254062256969854,1.118422234041857,26.424695322415566,False,False,48.31627148907764,105.69878128966226
point_price_cap,point,True,6,6,167,0.8502994011976048,19,0,3,"{""max_price"":0.6} | {""max_price"":0.6} | {""max_price"":0.45} | {""max_price"":0.6} | {""max_price"":0.7} | {""max_price"":0.6}",142,46,0.323943661971831,12.664145867323848,0.08918412582622429,2.5248696405028057,-0.25936234558902704,1.1319181861179566,24.62419207770303,False,False,50.65658346929539,98.49676831081212
notebook_policy_reference,probability,False,6,6,167,0.5089820359281437,10,0,1,"{""notebook_policy"":1.0} | {""notebook_policy"":1.0} | {""notebook_policy"":1.0} | {""notebook_policy"":1.0} | {""notebook_policy"":1.0} | {""notebook_policy"":1.0}",85,34,0.4,-4.341710543847954,-0.051078947574681816,1.5568367267125993,-0.32885801001159154,0.9148684207088636,12.979060429918526,False,False,-17.366842175391817,51.916241719674105
