max_price,trade_count,coverage,win_rate,total_pnl_usdc,mean_return,mean_return_lcb_95,max_drawdown_usdc
0.2,26,0.1326530612244898,0.19230769230769232,164.43656835572756,1.5811208495743034,-0.30657643704353266,28.0
0.25,41,0.20918367346938777,0.21951219512195122,176.37306418424225,1.0754455133185503,-0.1658253985958431,32.0
0.3,54,0.2755102040816326,0.24074074074074073,181.10004269607364,0.8384261235929336,-0.12330035189070221,43.60580149699524
0.35,67,0.34183673469387754,0.2835820895522388,204.6571880090626,0.7636462239144126,-0.023250839868521056,44.0
0.4,74,0.37755102040816324,0.3108108108108108,221.50744531313097,0.7483359638957128,0.03159756686740556,36.0
0.45,84,0.42857142857142855,0.34523809523809523,238.29279036039767,0.7092047332154693,0.07388676768133651,40.0
0.5,90,0.45918367346938777,0.35555555555555557,239.9279707828121,0.6664665855078115,0.07113827186864963,40.0
0.55,94,0.47959183673469385,0.3829787234042553,254.44067482060092,0.6767039223952153,0.1067820255511206,33.14293340784795
0.6,96,0.4897959183673469,0.3854166666666667,253.3372265447389,0.6597323607935909,0.10100610184958381,33.61195937260848
0.7,97,0.49489795918367346,0.3917525773195876,255.57110612177013,0.6586884178396137,0.10574955783930506,33.61195937260848
0.8,99,0.5051020408163265,0.40404040404040403,258.5382422720049,0.6528743491717295,0.11112045781865854,33.14293340784792
