station_id,count,masked_feature_count,baseline_mae_f,masked_mae_f,baseline_rmse_f,masked_rmse_f,baseline_bucket_hit_pct,masked_bucket_hit_pct,mean_prediction_delta_f,mean_abs_prediction_delta_f,p95_abs_prediction_delta_f,max_abs_prediction_delta_f,rounded_prediction_changed_pct,bucket_changed_pct,max_abs_refit_minus_published_f
KATL,172,78,1.2940321523258167,1.294105608220478,1.7657122587497003,1.7659855208989812,44.18604651162791,44.18604651162791,0.0001681354444065511,0.00046172394476498633,0.004246504675076293,0.010336500505601975,0.0,0.0,0.09819273154262476
KAUS,171,78,1.4107038379302188,1.4068239674198684,1.8693652201488415,1.866946704743876,42.69005847953216,45.02923976608187,0.010871553685386068,0.01159991112344166,0.07582589985495503,0.41811797136108453,3.508771929824561,2.3391812865497075,0.4155334741306831
KDAL,171,78,1.3359731870770877,1.3406599572552458,1.7949968095135669,1.7974255689204148,46.783625730994146,47.368421052631575,-0.01509913715916916,0.015218361872172265,0.15382629276400905,0.3390012229871786,2.3391812865497075,0.5847953216374269,0.06988600553869162
KHOU,171,78,1.0670834699534286,1.0686701295839245,1.5362535999462803,1.5369092219031881,56.14035087719298,56.14035087719298,-0.0007885083883145891,0.006627303195395601,0.026389568163786237,0.21245502038065922,0.5847953216374269,0.0,0.08624721667759161
KLAX,171,78,1.0563944474183056,1.0528680886297213,1.3338447104170117,1.3316923902111155,48.53801169590643,48.53801169590643,0.003456676253587623,0.0044728912162140455,0.01068286831225862,0.21321533702266038,0.0,0.0,0.13511641001620944
KLGA,172,78,1.4291744427543827,1.429604632209942,1.9268324943807325,1.9249215096407135,41.86046511627907,41.86046511627907,-0.004152198710452357,0.006243931039321844,0.03578854123398459,0.14273592979317584,0.0,0.0,0.07582173341542386
KMIA,172,78,0.9097772561240675,0.9120955233573819,1.217280383540435,1.2191027741277476,55.81395348837209,55.81395348837209,-0.0012698767086861038,0.008029859452198062,0.025060051726442358,0.23869336422487208,0.0,0.0,0.6312216928710512
KORD,171,78,1.4344230006377032,1.4419114308562717,1.9287957878070334,1.9336255153771524,45.02923976608187,45.02923976608187,-0.010439428392896175,0.011873311935535714,0.051795247050158366,0.5925812635454406,0.0,0.0,0.09035961645587776
KSEA,172,78,1.2269249243650757,1.2240976768138012,1.6640449064465899,1.6629594747065664,49.41860465116279,50.0,-0.009308058637715765,0.010189799225237882,0.02987293519034736,0.5158802054494629,2.3255813953488373,0.5813953488372093,0.8956149772896538
