station_id,count,baseline_mae_f,masked_mae_f,mae_delta_f,baseline_rmse_f,masked_rmse_f,baseline_bucket_hit_pct,masked_bucket_hit_pct,bucket_hit_delta_pp,mean_prediction_delta_f,mean_abs_prediction_delta_f,p95_abs_prediction_delta_f,max_abs_prediction_delta_f,rounded_prediction_changed_pct,bucket_changed_pct
KATL,172,1.294073549231618,1.2941470051262796,7.34558946615671e-05,1.7652537754369593,1.76552713019379,44.76744186046512,44.76744186046512,0.0,0.00016813544440655057,0.000461723944764982,0.004246504675076245,0.0103365005056019,0.0,0.0
KAUS,171,1.4125731985440153,1.410162446478101,-0.0024107520659142345,1.8768794901407597,1.874856190534601,43.859649122807014,45.614035087719294,1.7543859649122806,0.010871553685386066,0.011599911123441655,0.075825899854955,0.4181179713610845,2.3391812865497075,1.7543859649122806
KDAL,171,1.3371743634506557,1.341861133628814,0.004686770178158328,1.7962573700394366,1.798805474840197,47.368421052631575,47.953216374269005,0.5847953216374269,-0.015099137159169156,0.01521836187217226,0.15382629276400905,0.3390012229871786,1.1695906432748537,0.5847953216374269
KHOU,171,1.066478609469441,1.0674184507478035,0.000939841278362552,1.536326755771923,1.5369003866158706,56.14035087719298,56.14035087719298,0.0,-0.000788508388314591,0.006627303195395594,0.026389568163786202,0.2124550203806592,0.0,0.0
KLAX,171,1.055143485714932,1.051617126926348,-0.003526358788584094,1.3347107566867118,1.3325771863322788,47.953216374269005,47.953216374269005,0.0,0.0034566762535876224,0.004472891216214042,0.01068286831225855,0.2132153370226603,0.0,0.0
KLGA,172,1.425357330701391,1.4257943049784232,0.0004369742770322649,1.9263395131004035,1.9243900244197878,41.86046511627907,41.86046511627907,0.0,-0.0041521987104523594,0.006243931039321836,0.035788541233984554,0.1427359297931758,0.0,0.0
KMIA,172,0.9400789031267729,0.9422261098140584,0.002147206687285519,1.246098821844597,1.2478318499355279,54.65116279069767,54.65116279069767,0.0,-0.0012698767086861194,0.008029859452198017,0.02506005172644234,0.238693364224872,0.0,0.0
KORD,171,1.4328435335741625,1.4403319637927305,0.007488430218568043,1.927535804959734,1.9323858146392645,45.02923976608187,45.02923976608187,0.0,-0.010439428392896173,0.011873311935535705,0.0517952470501583,0.5925812635454406,0.0,0.0
KSEA,172,1.224363115352489,1.223727092061499,-0.0006360232909898844,1.6158840153097598,1.615917982204668,49.41860465116279,49.41860465116279,0.0,-0.009308058637715767,0.01018979922523787,0.029872935190347276,0.5158802054494629,0.0,0.0
