feature,kind,family,used_station_count,used_stations,missing_pct_min_all_rows,missing_pct_max_all_rows,missing_pct_weighted_mean_all_rows,missing_pct_min_modeling_rows,missing_pct_max_modeling_rows,missing_pct_weighted_mean_modeling_rows,expected_nan_policy,schema_note
observed_temp_minus_actual_high_lag_1d_f,numeric,observation history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
observed_temp_minus_actual_high_roll_30d_mean_f,numeric,observation history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
observed_temp_minus_actual_high_roll_7d_mean_f,numeric,observation history,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
observed_temp_minus_climatology_10y_f,numeric,v9/v11 climatology,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,should_be_present_after_normals_join; investigate if high missingness,
observed_visibility_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.102,0.017,0.0,0.102,0.017,may_be_null; numeric median imputer handles,
observed_weather_code_at_as_of,categorical,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,83.707,95.214,89.251,83.717,95.357,89.349,"may_be_null; categorical imputer fills ""missing""",
observed_wind_chill_at_as_of_f,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,57.739,99.796,81.659,58.286,99.796,81.818,may_be_null; numeric median imputer handles,
observed_wind_dir_cos,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,3.208,11.253,6.845,3.221,11.247,6.865,may_be_null; numeric median imputer handles,
observed_wind_dir_sin,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,3.208,11.253,6.845,3.221,11.247,6.865,may_be_null; numeric median imputer handles,
observed_wind_direction_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,3.208,11.253,6.845,3.221,11.247,6.865,may_be_null; numeric median imputer handles,
