feature,kind,family,used_station_count,used_stations,missing_pct_min_all_rows,missing_pct_max_all_rows,missing_pct_weighted_mean_all_rows,missing_pct_min_modeling_rows,missing_pct_max_modeling_rows,missing_pct_weighted_mean_modeling_rows,expected_nan_policy,schema_note
gfs_high_plus_rolling_bias_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.509,0.402,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_high_plus_rolling_bias_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.356,0.249,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_hrrr_high_f_abs_diff_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_hrrr_high_f_diff_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_is_coldest,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_is_warmest,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_issue_hour_local,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_minus_actual_high_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_minus_actual_high_roll_30d_mean_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_minus_actual_high_roll_7d_mean_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_minus_provider_mean_high_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_nbm_high_f_abs_diff_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_nbm_high_f_diff_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.305,0.198,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_prior_month_bias_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_prior_month_error_count,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_prior_month_mae_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_rank_high,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.255,0.147,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
gfs_rolling_bias_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_rolling_bias_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_rolling_bias_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_rolling_mae_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_rolling_mae_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
gfs_rolling_mae_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_abs_error_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_error_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_high_f,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,required_live_non_null; fail closed if missing,
hrrr_high_minus_observed_high_temp_f,numeric,provider-observation delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_high_minus_observed_temp_f,numeric,provider-observation delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_high_plus_prior_month_bias_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_high_plus_rolling_bias_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_high_plus_rolling_bias_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_high_plus_rolling_bias_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_is_coldest,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_is_warmest,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_minus_actual_high_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_minus_actual_high_roll_30d_mean_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_minus_actual_high_roll_7d_mean_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_minus_provider_mean_high_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_nbm_high_f_abs_diff_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_nbm_high_f_diff_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_prior_month_bias_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_prior_month_error_count,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_prior_month_mae_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_rank_high,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
hrrr_rolling_bias_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_rolling_bias_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_rolling_bias_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_rolling_mae_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_rolling_mae_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
hrrr_rolling_mae_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
is_weekend,numeric,other numeric,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
month,numeric,calendar,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_abs_error_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_error_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_forecast_hour_max,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_forecast_hour_min,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_forecast_lead_hours,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_high_f,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,required_live_non_null; fail closed if missing,
nbm_high_minus_observed_high_temp_f,numeric,provider-observation delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_high_minus_observed_temp_f,numeric,provider-observation delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_high_plus_prior_month_bias_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.273,1.273,1.273,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_high_plus_rolling_bias_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.204,0.204,0.204,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_high_plus_rolling_bias_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.305,0.305,0.305,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_high_plus_rolling_bias_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_is_coldest,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_is_warmest,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_minus_actual_high_lag_1d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_minus_actual_high_roll_30d_mean_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_minus_actual_high_roll_7d_mean_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.051,0.052,0.051,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_minus_provider_mean_high_f,numeric,provider cross-model delta,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_prior_month_bias_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_prior_month_error_count,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_prior_month_mae_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,1.222,1.222,1.222,1.08,1.239,1.207,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_rank_high,numeric,provider forecast/raw,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.051,0.051,0.051,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
nbm_rolling_bias_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_rolling_bias_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_rolling_bias_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_rolling_mae_14d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.153,0.153,0.153,0.153,0.155,0.154,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_rolling_mae_30d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.255,0.255,0.255,0.255,0.258,0.256,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
nbm_rolling_mae_7d_f,numeric,provider historical error/bias,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.102,0.102,0.102,0.102,0.103,0.102,expected_nan_early_history_or_missing_prior; numeric median imputer handles,
observed_altimeter_inhg_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.153,0.04,0.0,0.153,0.04,may_be_null; numeric median imputer handles,
observed_as_of_age_minutes,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,required_live_non_null; fail closed if missing,
observed_ceiling_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,24.745,54.481,43.403,24.834,54.499,43.576,may_be_null; numeric median imputer handles,
observed_cloud_cover_at_as_of,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.407,0.181,0.0,0.41,0.182,may_be_null; numeric median imputer handles,
observed_dewpoint_at_as_of_f,numeric,current observation,9,KATL KAUS KDAL KHOU KLAX KLGA KMIA KORD KSEA,0.0,0.0,0.0,0.0,0.0,0.0,observed_non_null_in_v11_artifacts; still build column defensively,
