station,model,days,bucket_hits,mae_f,bias_f,bucket_hitrate_pct
KATL,v11_settlement,12,4,1.538636671120867,-0.09733352538206219,33.33333333333333
KATL,v20,12,4,1.4732510800471925,0.07266767038410056,33.33333333333333
KDAL,v11_settlement,12,5,1.6488652379769917,1.0762971792144878,41.66666666666667
KDAL,v11_settlement_fix,12,3,1.8239579851097656,1.1304677082475234,25.0
KDAL,v20,12,4,2.190745704315559,2.096471570709877,33.33333333333333
